Product Number	Product Name	Product Description
36	LUMN Home  800lm 40Wh12W	"This LUMN Home Solar Light System is one of the best lighting systems in the small home system category The kit comprises of 

 F bright and efficient lamps each operating at an impressive 200lm per watt
 Three brightness levels to cater to varying lighting needs
 Incorporates a robust and longlasting solar panel
 Convenient smartphone charger holder
 Wireless wallmount light switch
 WallMount Battery Hub with Practical Display and Keypad
 Capability to expand and customize by adding additional batteries panels lamps and other components

The LUMN Home Solar Light System is a highly efficient lighting system designed for small homes Its four bright lamps operate at an impressive 200lm per watt ensuring maximum brightness with minimal power consumption Users can adjust the brightness level to their specific needs thanks to the systems three different settings The durable solar panel is designed to absorb sunlight efficiently even on cloudy days providing ample lighting with limited sunlight

The systems convenient features include a smartphone charger holder a wireless wallmount light switch and a wallmount battery hub with a practical display and keypad The battery hub offers a wide range of features including MPPT solar charging Bluetooth Low Energy BLE GATT regulated DC 12V and USB outputs PAYG enable comprehensive protections and optional GSM connectivity The system is also expandable with the possibility to add additional batteries panels lamps and other components as needed

The LUMN Home Solar Light System is a safe reliable and costeffective solution for meeting various lighting needs It comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards ensuring its performance and quality For more detailed information check out the datasheet for the product specifications

Product Model SHS4012W_L2222"
37	LUMN Home  600lm 20Wh6W	"This LUMN Home Solar Light System product being described is an advanced solarpowered lighting system designed to meet various lighting needs efficiently and effectively Here is a more detailed expansion of each feature The kit comprises of 

 Three bright and efficient lamps each operating at an impressive 200lm per watt
 Three brightness levels to cater to varying lighting needs
 Incorporates a robust and longlasting solar panel
 Convenient smartphone charger holder
 Wireless wallmount light switch
 WallMount Battery Hub with Practical Display and Keypad
 Capability to expand and customize by adding additional batteries panels lamps and other components

The solar lighting systems highefficiency lamps produce bright illumination with minimal power consumption The three lamps have different brightness levels for customizable lighting needs The solar panel efficiently charges the systems batteries during the day and provides power to the lamps at night even on cloudy days

The system features a convenient smartphone charger holder and a wireless wallmount light switch that eliminates the need for wiring The wallmount battery hub includes a display showing the current battery level and charging status and a keypad for customized settings Users can expand and customize the system with additional components to meet specific lighting needs

The Battery Hub enhances the systems capabilities with MPPT solar charging Bluetooth Low Energy BLE GATT regulated DC 12V and USB outputs PAYG enables comprehensive protections and optional GSM connectivity The product has undergone rigorous testing and certification to IEC TS 6225798 quality standards ensuring safety reliability and performance  A detailed product specification is available in the datasheet

Product Model SHS2006W_L222"
38	LUMN Home  400lm 20Wh6W	"This LUMN Home Solar Light System stands out as one of the best small home lighting systems available due to its array of impressive features This kit includes

 Two bright and efficient lamps each operating at an impressive 200lm per watt
 Three brightness levels to cater to varying lighting needs
 Incorporates a robust and longlasting solar panel
 Convenient smartphone charger holder
 Wireless wallmount light switch
 WallMount Battery Hub with Practical Display and Keypad
 Capability to expand and customize by adding additional batteries panels lamps and other components

The LUMN Home Solar Lights System boasts two highperforming lamps each operating at an impressive 200lm per watt making it a highly efficient lighting solution for small homes This performance is key to delivering reliable and costeffective lighting for households with varying lighting needs

The systems adaptability is also noteworthy with three brightness levels to cater to different environments and settings Additionally the inclusion of a robust solar panel ensures the system can withstand diverse weather conditions making it a dependable option for offgrid locations or areas with unreliable power sources

The LUMN Home Solar Lights System is also highly convenient with a smartphone charger holder wireless wallmount light switch and a wallmount battery hub with practical display and keypad These features enhance user flexibility and convenience allowing for easy monitoring and control of the systems performance The system can also be easily expanded and customized with additional batteries panels lamps and other components providing greater scalability to adapt to changing requirements

The Battery Hub in this product offers several functionalities like MPPT solar charging BLE GATT DC 12V USB outputs PAYG enable protections and optional GSM connectivity An additional battery hub provides external power It has undergone testing and is certified to IEC TS 6225798 quality standards ensuring safety reliability and performance

 For more information refer to the datasheet

Product Model SHS2006W_L22"
39	48Ah SHS	"48Ah SHS Main Features

 48Ah 1229Wh rated capacity
 Foolproof connectors to power source and DC appliances
 Intelligent charging and discharging strategies
 Full protections against most fault conditions with restartreset
 Intuitive user interface and status display
 Rugged body built to last in tough environments

gtBest in class"
40	42Ah SHS	"42Ah SHS Main Features

 42Ah 538Wh rated capacity
 Foolproof connectors to power source and DC appliances
 Intelligent charging and discharging strategies
 Full protections against most fault conditions with restartreset
 Intuitive user interface and status display
 Rugged body built to last in tough environments

gtBest in class"
41	Electric Outboard H4	" User Satisfaction

 Easy Operation  Intuitive super userfriendly operations anyone can safely operate the product with minimum training
 Quiet  Its virtually silent Perfect for not spooking fish when you are fishing
 Clean  No messy fuel or oil leaks and therefore no greasy stains on your hands car trunk or boat
 ExhaustFree  No fumes or smoke no smell and friends safer and healthier
 Omnivoltaic IoET Enabled  Electric start and digital control with realtime operational data available  A host of equipment and user data including diagnostics and geolocation trajectory can be obtained to meet operational requirements
 Extremely Low Maintenance  Maintenancefree on directdrive models Significantly lower maintenance required than combustion engines 
 Reliability by Design  The efficient and innovative motor structure means there are fewer moving parts  making it reliable and robust

  Environment Friendly
  Efficiency  Save on fuel and maintenance costs which also creates more value to commercial boats over the longterm Conservation of resources consumption is the best way to protect environment
 Renewable Energy Sources  Lithiumion Battery Pack is designed for recharge from renewable power sources such as hydrogeneration wind turbine and solar panel Save on fuel and maintenance costs which also creates more value to commercial boats over the longterm
 Minimum Disturbance to Ecosystems  Enables boaters to access waters where combustion engines are banned"
42	ovEgo R3	" ovEgo
The electric motorcycle ovEgo R3 is desighed for long rangeTwo swapable battery allow it for more than 200km long riding
 Long Range
 Rated 80 kmh with Burst Speed Up To 90 kmh
 High Load Carrying Capability
 Steep Climbing Capability
 DrumMount DC Brushless Motor with HighEfficiency SVPWM Motor Controllers
 Proprietary SemiSolid Electrolyte LiIon Battery Module"
43	ovEgo F3	 ovEgo  The electric motorcycle ovEgo F3 is new fast and fashion design  Excellent Acceleration  Rated 80 kmh with Burst Speed Up To 100 kmh  High Load Carrying Capability  Steep Climbing Capability  CenterMount DC Brushless Motor with HighEfficiency SVPWM Motor Controllers  Proprietary NMC Battery Module
44	AllInOne Inverter Charger 3K48V	" Performance characteristics

An allinone inverter is a versatile and comprehensive solution for power generation and storage needs Its main features include the integration of solar energy storage the ability to charge energy storage from multiple sources and the provision of clean and stable AC sine wave output Additionally it often incorporates advanced control algorithms and digital signal processor DSP control ensuring high response speed reliability and compliance with industry standards 

Allinone inverters offer a reliable and efficient alternative to traditional power generation methods particularly in areas with unreliable or intermittent power supply

 Main Features
	Full digital voltage and current double closed loop control advanced SPWM technology output of pure sine wave
	Two output modes mains bypass and inverter output uninterrupted power supply
	Available in 4 charging modes Only Solar Mains Priority Solar Priority and Mains amp Solar hybrid charging
	Advanced MPPT technology with an efficiency of 999
	With the charging requirement voltage current mode settings and suitable for various types of energy storage batteries
	ONOFF rocker switch for AC output control
	Power saving mode available to reduce noload loss
	Intelligent variable speed fan to efficiently dissipate heat and extend system life
	Lithium battery activation design allowing access of leadacid battery and lithium battery
	360  allround protection with a number of protection functions Such as overload short circuit and overcurrent
	Supply of a variety of userfriendly communication modules such as R S 485GPRS WiFi Bluetooth CAN US B etc and suitable for computer mobile phones Internet monitoring as well as remote operations"
45	ovEgo E3	"blockquote
p ovEgo  The electric motorcycle ovEgo E3 is benchmarked against normal 125cc ICE motorcycle Consisting of Body Motor Drives Brakes and Wheels  Excellent Acceleration  Rated 80 kmh with Burst Speed Up To 100 kmh  High Load Carrying Capability  Steep Climbing Capability  CenterMount DC Brushless Motor with HighEfficiency SVPWM Motor Controllers  Proprietary LFP Battery Modulep
blockquote"
46	ovEgo Emc220	" ovEgo

 The electric motorcycle Emc220 is benchmarked against normal 125cc ICE motorcycle Consisting of Body Motor Drives Brakes and Wheels
 Excellent Acceleration
 Rated 80 kmh with Burst Speed Up To 110 kmh
 High Load Carrying Capability
 Steep Climbing Capability
 CenterMount DC Brushless Motor with HighEfficiency SVPWM Motor Controllers
 Proprietary SemiSolid Electrolyte LiIon Battery Module"
47	ACDC Solar Generator  Town 15x5	"Town Stacked energy storage products also known as modular energy storage systems are a type of energy storage technology that allows for the combination of multiple battery units into a single larger system 

 Omnivoltaic Solar Powered ACDC System
Integrated AC  DC System with Solar and Grid Connection Options
 The current system has an inverter output to provide AC power as many commercial appliances use standard AC power source
 This is a selfcontained power generation storage and distribution system
 This system is designed to provide power supply to normal home use or business use 
 Hardware is modular in design divided into solar panel  racking and the control cabinet packages suitable to light truck transport 
 The system design has taken into consideration of remote location shipment and installation constraints
 Installation can be performed by minimum technical personnel using simple hand tools

Overall stacked energy storage products provide a flexible reliable and spacesaving solution for a wide range of energy storage applications"
48	ACDC Solar Generator  Town 20X5	"Town energy storage systems refer to the combination of multiple energy storage technologies such as batteries supercapacitors flywheels and compressed air to provide a more reliable and flexible energy storage solution Here are some of the advantages and applications of Town energy storage products

 Omnivoltaic Solar Powered ACDC System Advantages
 Higher energy density By combining different energy storage technologies Town energy storage systems can achieve higher energy density allowing for longer discharge times and greater storage capacity
 Improved reliability Town energy storage systems can provide redundancy and backup capabilities ensuring that energy supply is maintained even in the event of a failure in one of the storage technologies
 Increased flexibility Town energy storage systems can be designed to provide different types of energy storage such as fastacting highpower storage for frequency regulation and slowacting longduration storage for peak shaving
 Lower costs By combining different energy storage technologies Town energy storage systems can achieve economies of scale and reduce the overall cost of energy storage

 Town Series Applications
 Gridscale energy storage Town energy storage systems can be used to store energy generated from renewable sources such as solar power and provide a reliable and flexible source of energy to the grid
 Microgrids Stacked energy storage systems can provide backup power and increase the reliability of microgrids which are smallscale power systems that can operate independently of the grid
 Electric vehicles Stacked energy storage systems can be used in electric vehicles to provide a combination of highpower and longduration storage improving the performance and range of electric vehicles
 Industrial and commercial applications Stacked energy storage systems can be used in a variety of industrial and commercial applications such as backup power for data centers peak shaving for industrial facilities and energy management for commercial buildings

Overall Town energy storage products provide a flexible reliable and spacesaving solution for a wide range of energy storage applications"
49	ovEgo T5	" AmpTorrent Rechargeable AAA Batteries Pack

 1100mWh High Capacity Lithium Batteries AAA
 15V Constant Output Long Lasting
 4 AAA Batteries Pro With 4 Slot Charger

 Patented US and EU embedded liion control offers a significant advantage in capacity voltage stability safety durability and cycle life over other rechargeable batteries

 These lithium aaa batteries can only be used for AmpTorrent brand batteries charger or the special compatible lithium battery charger with 5V2A Please charge fully before first use as we only charge the batteries to 30 for shipping safety purposes


 Long Lasting time

Recharge Up to 1000 cycles and extremely Low selfdischarge make AmpTorrent rechargeable AAA battery designed to provide reliable and lasting performance for devices Cant use for flash blink series apple mouse and keyboard


 Constant 15V"
50	Solar Fishing Light ovCatch C500	"The CAMP Solar Fishing Light the ultimate solarpowered fishing light designed to optimize your fishing activities This lighting system includes

 12W solar panel
 Solar Fishing Light
 Remote Control
 Two Metal Stands 

Tested and proven to be the bestselling fishing light in Lake Victoria this waterproof device features a unique plugandplay design with two lighting modes and antitheft functionalities In fishing mode it emits maximum brightness and can last up to 14 hours during dark nights 

This product is available with a PAYG option and comes with a warranty It has been tested and certified to meet the IEC TS 6225798 quality standard 

For detailed specifications please refer to the datasheet"
51	ovEgo B3	ACDC Solar Generator  Oasis 5x3
52	ACDC Solar Generator  Oasis 1x1	"The Solar Power Generator 1kWh is the latest product to be added to OVES product portfolio

The Solar Power Generator 1kWh is a versatile and efficient solution for powering both DC and AC small appliances 

This solution can be used at home at work or for any outdoor activity 

  Features

  Oasis Brings Professional OffGrid Power to Battery Generator
  LFP Chemistry for Safety 802000 Full Cycle Life
  Smart MPPT for Solar Efficiency
  Crystalline Silicon Solar Panel 375 Wp

  Descriptions
 375w36V solar panel with 10m cable
 1075wh LFP battery hub 48Ah224V
 Inverter 1000w rated power 1300w peak power
 Builtin GPRS
  PAYG is optional with same price
  Optional solar panel rack for 1piece of 375W panel installation"
53	Solar Home System 12Ah	" Solar Home System Main Features
 55 Wp Power
 Matched for daily energy consumption
 DC12V Pure DC Power
 Total Power ShutOff Switches
 Lithium LFP Battery Pack
 1536 WattHours of Energy Storage
 100 Deep Discharge Daily
 10ADC128V Max Output Power"
54	12Ah SHS	"12Ah SHS Main Features

 12Ah 1536Wh Rated Capacity
 Foolproof Connectors to Power Source and DC Appliances
 Intelligent Charging and Discharging Strategies
 Full Protections Against Most Fault Conditions with Restartreset
 Intuitive User Interface and Status Display
 Rugged Body Built to Last in Tough Environment

gtBest in class"
55	AllInOne Inverter Charger 55K48V High Voltage	" Performance characteristics

The HF series is a recently introduced allinone hybrid solar charge inverter that combines solar energy storage with the ability to charge energy storage from other sources and provide AC sine wave output Its high level of reliability and responsiveness is due to its incorporation of DSP control and advanced control algorithms making it compliant with the most rigorous industry standards

 Main Features
	Full digital voltage and current double closed loop control advanced SPWM technology output of pure sine wave
	Two output modes mains bypass and inverter output uninterrupted power supply
	Available in 4 charging modes Only Solar Mains Priority Solar Priority and Mains amp Solar hybrid charging
	Advanced MPPT technology with an efficiency of 999
	With the charging requirement voltage current mode settings and suitable for various types of energy storage batteries
	ONOFF rocker switch for AC output control
	Power saving mode available to reduce noload loss
	Intelligent variable speed fan to efficiently dissipate heat and extend system life
	Lithium battery activation design allowing access of leadacid battery and lithium battery
	360  allround protection with a number of protection functions Such as overload short circuit and overcurrent
	Supply of a variety of userfriendly communication modules such as R S 485GPRS WiFi Bluetooth CAN US B etc and suitable for computer mobile phones Internet monitoring as well as remote operations"
56	ACDC Solar Generator  ovT20	"h3strongProduct Detailsstrongh3
pbrOur company specializes in producing outdoor energy storage products that offer exceptional quality and reliability Our products are designed to meet the needs of a wide range of applications from powering outdoor lighting systems to supporting remote offgrid power systemsp
h3strongÂ Features strongh3
ul
liOasis Brings Professional OffGrid Power to Battery Generatorli
liLFP Chemistry for Safety 802500 Full Cycle Lifeli
liSmart MPPT for Solar Efficiencyli
liCrystalline Silicon Solar Panel is optionalli
ul
h3strongDescriptionsstrongh3
ul
li
strongÂ Energy Independence strongOur products enable offgrid areas to become selfsufficient by providing reliable ondemand power without relying on traditional grid infrastructure  Improved Resilience Our products provide backup power during power outages helping to improve the resilience of offgrid communities and businessesli
li
strongEase of Maintenancestrong Energy storage products are typically lowmaintenance with few moving parts and long lifetimes making them an attractive option for offgrid areas with limited access to maintenance resourcesli
li
strongCost Savingsstrong Energy storage products can reduce energy costs by storing excess energy generated during times of low demand and using it during peak demand periods thereby reducing the need to rely on expensive backup generatorsli
li
strongEase of Maintenancestrong Our products are typically lowmaintenance with few moving parts and long lifetimes making them an attractive option for offgrid areas with limited access to maintenance resourcesli
ul"
